Name	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P084	-0.3177	-1.2978	0.8256	-0.9238	-1.4445	0.4748	-1.0232	0.1428	0.4778	0.4466	1.2915	-0.258	0.3119	0.103	0.1747	1.0607
P085	0.889	-0.7733	0.786	-1.5412	-0.6388	-0.0033	-1.4177	-0.0367	-0.2374	0.5343	1.5093	-0.6947	0.0365	0.2869	0.5523	0.8167
P086	0.2857	-1.9915	0.8182	-1.3667	-0.1061	0.845	-1.2927	-0.373	0.3234	0.7154	1.3048	-0.4286	0.1704	-0.2379	0.4168	0.9749
P087	-0.2767	-2.1674	0.1172	-1.071	0.595	0.834	0.0587	-1.1186	0.5788	0.8957	0.4272	-0.9297	0.5012	-0.5805	1.5123	0.6929
P088	0.0123	-0.4153	1.0333	-0.9962	0.0035	-0.0409	-0.4145	0.9849	-0.9938	-0.1987	-0.6847	-1.144	0.4315	1.488	0.5992	0.3699
P089	-0.0316	-2.2072	0.1112	-0.6981	-0.406	0.6271	0.1171	-0.7054	0.5443	0.3981	0.0324	-0.1069	0.0477	-0.7283	1.8226	1.2424
P090	-0.2047	-1.7864	0.0373	-0.5863	-0.1413	0.316	0.4668	0.6359	-0.1296	-0.1512	-1.199	-0.6024	-0.0639	-0.4206	2.4046	1.4923
P091	0.7919	-1.2226	0.5671	-1.3412	-0.6584	0.1406	-1.0085	1.2001	-0.6361	-0.1389	-0.3328	-0.2975	-0.4493	-0.007	1.4552	2.0107
P092	0.0645	-1.7002	0.0496	-1.5011	-0.1031	0.5971	-0.2342	-0.1957	0.4104	0.4515	0.2192	-0.9787	0.2329	-0.617	2.2739	1.1088
P093	-0.532	-1.5941	0.2359	0.6729	-1.2626	0.0386	0.9411	-1.434	0.6104	0.8104	-0.0644	-0.524	0.6879	-0.2285	1.2351	0.4352
P094	-0.7374	-0.7835	0.5961	-0.7036	0.3193	0.2941	0.2222	-0.5266	-0.2687	-0.0341	-0.3011	-1.5394	0.7178	0.6846	2.3284	-0.2205
P095	-0.0208	-1.545	0.8336	-1.0503	0.2752	0.6521	-0.648	-1.1335	0.1331	1.2353	1.6335	-1.0493	0.7407	-0.0032	0.01	-0.0091
P096	-0.6178	-1.0125	0.7178	-1.1819	1.4414	0.266	-0.3085	0.4644	-0.5217	-0.1471	-0.6973	-1.4758	0.7372	1.8255	1.1353	-0.5932
P097	0.6307	-1.5782	0.5601	-0.7243	0.3125	0.0519	0.4466	-0.944	-0.4769	0.3194	-0.5499	-0.5144	0.9319	0.5536	1.1259	-0.1251
P098	1.1195	-1.1319	1.1309	-1.4143	0.2654	0.1952	-1.6824	-0.2472	-0.898	0.3754	1.1081	-0.8877	0.101	0.2386	0.9076	0.8907
P099	0.0592	-0.8595	0.306	-0.3444	-0.4976	0.0848	0.3332	-1.1789	-0.0627	0.5141	0.4569	-1.2223	0.526	0.0964	1.7535	0.0886
P100	-0.0304	-0.2265	0.6627	-1.2294	0.3567	0.0475	-0.1534	1.6268	-0.9779	-0.5213	-1.4348	-1.3207	0.0702	1.2278	1.6243	0.3265
