	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P082	-2.025	0.3017	0.9694	0.5777	-0.5523	0.6034	0.3025	-0.0173	2.5741	-1.0433	-0.6063	0.3918	0.6136	-0.7172	-0.8624	-0.5278
P083	-2.0349	0.3173	0.8554	0.6266	-0.5145	0.5879	0.2884	-0.0581	2.6091	-1.018	-0.6252	0.3778	0.6562	-0.7314	-0.8393	-0.5136
P084	-2.0221	0.316	0.8268	0.6002	-0.4861	0.5848	0.331	-0.0704	2.6299	-1.0475	-0.6021	0.3305	0.6669	-0.7442	-0.8694	-0.4609
P085	-2.023	0.2953	0.9487	0.5587	-0.5424	0.6098	0.3114	-0.0195	2.5831	-1.0472	-0.6186	0.3816	0.6356	-0.7244	-0.8583	-0.5082
P086	-2.0192	0.3489	0.8705	0.618	-0.4923	0.564	0.329	-0.0637	2.6049	-1.0719	-0.5929	0.3286	0.6516	-0.737	-0.8826	-0.4734
P087	-2.0247	0.3391	0.8404	0.5934	-0.4765	0.5603	0.3334	-0.0915	2.6156	-1.062	-0.637	0.3175	0.712	-0.7147	-0.8534	-0.4692
P088	-2.0169	0.3091	0.9965	0.561	-0.5685	0.6059	0.2796	0.0006	2.5583	-1.0397	-0.6395	0.4223	0.6225	-0.7156	-0.8548	-0.5387
P089	-2.0298	0.3433	0.8442	0.6411	-0.5056	0.5843	0.2898	-0.0615	2.6067	-1.0352	-0.6097	0.3605	0.651	-0.7467	-0.8578	-0.4915
P090	-2.0179	0.3265	0.9643	0.5433	-0.5487	0.5454	0.3022	-0.0694	2.5914	-1.0434	-0.6416	0.3852	0.6897	-0.6885	-0.8271	-0.5291
P091	-2.0156	0.3178	0.8674	0.5727	-0.5099	0.5936	0.3213	-0.0561	2.6227	-1.0456	-0.6094	0.3353	0.6666	-0.7254	-0.8684	-0.484
P092	-2.0247	0.2856	0.9686	0.5332	-0.5532	0.6383	0.329	-0.007	2.5784	-1.0549	-0.6004	0.351	0.6231	-0.7235	-0.8666	-0.4948
P093	-2.033	0.2954	0.8417	0.6165	-0.4848	0.563	0.3173	-0.0383	2.6208	-1.0109	-0.6606	0.3636	0.6668	-0.7327	-0.8617	-0.4791
P094	-1.9866	0.3744	0.8419	0.59	-0.4707	0.5495	0.3622	-0.1048	2.6232	-1.1166	-0.5894	0.2993	0.6847	-0.7443	-0.8832	-0.4477
P095	-2.0192	0.3138	0.8602	0.5826	-0.5164	0.5859	0.3082	-0.0558	2.6297	-1.0228	-0.6169	0.347	0.6661	-0.7313	-0.8541	-0.4935
P096	-2.0295	0.3124	0.9012	0.6165	-0.5642	0.5878	0.256	-0.0323	2.6055	-0.9889	-0.6074	0.3832	0.6489	-0.714	-0.8577	-0.5333
P097	-1.9968	0.3436	0.9788	0.5662	-0.5684	0.6031	0.2999	-0.0405	2.5755	-1.0827	-0.5639	0.3831	0.61	-0.7313	-0.8733	-0.5217
P098	-2.0209	0.3184	0.8834	0.5915	-0.4887	0.5679	0.3401	-0.0641	2.6079	-1.0673	-0.6105	0.355	0.6504	-0.728	-0.869	-0.4837
