Target ID	Target name	TF list
ENSG00000162616	DNAJB4	ENSG00000100811;
ENSG00000198610	AKR1C4	ENSG00000135100;ENSG00000101076;ENSG00000164749;
ENSG00000196363	WDR5	ENSG00000184895;
ENSG00000149554	CHEK1	ENSG00000113916;ENSG00000101412;ENSG00000136997;ENSG00000141510;ENSG00000141510;
ENSG00000185104	FAF1	ENSG00000109320;ENSG00000173039;
ENSG00000100604	CHGA	ENSG00000120738;ENSG00000138795;ENSG00000084093;ENSG00000185591;
ENSG00000142330	CAPN10	ENSG00000020633;
ENSG00000089199	CHGB	ENSG00000084093;
ENSG00000133048	CHI3L1	ENSG00000008441;ENSG00000185591;ENSG00000168610;
ENSG00000164985	PSIP1	ENSG00000185591;
ENSG00000068028	RASSF1	ENSG00000185591;ENSG00000172845;ENSG00000141510;
ENSG00000184363	PKP3	ENSG00000148516;
ENSG00000197150	ABCB8	ENSG00000185591;
ENSG00000156076	WIF1	ENSG00000185591;
ENSG00000183765	CHEK2	ENSG00000101412;ENSG00000136997;ENSG00000141510;
ENSG00000143507	DUSP10	ENSG00000115966;
ENSG00000269858	EGLN2	ENSG00000143437;
ENSG00000129521	EGLN3	ENSG00000100644;ENSG00000166888;
ENSG00000183134	PTGDR2	ENSG00000073861;
ENSG00000118922	KLF12	ENSG00000137203;
ENSG00000102349	KLF8	ENSG00000185591;
ENSG00000076351	SLC46A1	ENSG00000106459;
ENSG00000097021	ACOT7	ENSG00000198911;
ENSG00000063244	U2AF2	ENSG00000184937;
ENSG00000138435	CHRNA1	ENSG00000160224;
ENSG00000080644	CHRNA3	ENSG00000139352;
ENSG00000169684	CHRNA5	ENSG00000139352;
ENSG00000132773	TOE1	ENSG00000120738;
ENSG00000117971	CHRNB4	ENSG00000139352;ENSG00000185591;ENSG00000172845;
ENSG00000108556	CHRNE	ENSG00000157557;
ENSG00000149742	SLC22A9	ENSG00000135100;
ENSG00000213341	CHUK	ENSG00000134954;ENSG00000141510;
ENSG00000161031	PGLYRP2	ENSG00000109320;ENSG00000185591;
ENSG00000223953	C1QTNF5	ENSG00000101076;
ENSG00000156804	FBXO32	ENSG00000141646;
ENSG00000114737	CISH	ENSG00000168610;ENSG00000166888;
ENSG00000159958	TNFRSF13C	ENSG00000109320;ENSG00000173039;
ENSG00000104879	CKM	ENSG00000109787;ENSG00000141510;ENSG00000184937;
ENSG00000123975	CKS2	ENSG00000065978;
ENSG00000184428	TOP1MT	ENSG00000136997;
ENSG00000110243	APOA5	ENSG00000186951;ENSG00000069667;ENSG00000072310;ENSG00000072310;ENSG00000158773;ENSG00000158773;ENSG00000105698;ENSG00000105698;
ENSG00000233608	TWIST2	ENSG00000100644;ENSG00000168610;
ENSG00000171365	CLCN5	ENSG00000090447;
ENSG00000186510	CLCNKA	ENSG00000163884;ENSG00000103495;
